class,alias,section,option,units,default,dependencies
mvMax5.costOffGrid.OffGridSystemRecurringCostPerYear,og_rec,system (off-grid),system recurring cost per year,dollars per year,None,mvMax5.costOffGrid.PhotovoltaicComponentRecurringCostPerYear;mvMax5.costOffGrid.DieselComponentRecurringCostPerYear
mvMax5.finance.DiscountedCashFlowFactor,dcff,finance,discounted cash flow factor,,None,mvMax5.finance.TimeHorizon;mvMax5.finance.InterestRatePerYear
mvMax5.demand.ProjectedNodalDiscountedDemand,p_dem_d,demand,projected nodal discounted demand,kilowatt-hours,None,mvMax5.demand.ProjectedNodalDemandPerYear;mvMax5.finance.DiscountedCashFlowFactor
mvMax5.costMiniGrid.MiniGridSystemInitialCost,mg_ini,system (mini-grid),system initial cost,dollars,None,mvMax5.costMiniGrid.GeneratorCost;mvMax5.costMiniGrid.GeneratorInstallationCost;mvMax5.costMiniGrid.LowVoltageLineEquipmentCost;mvMax5.costDistribution.LowVoltageLineInitialCost
mvMax5.costMiniGrid.MiniGridSystemRecurringCostPerYear,mg_rec,system (mini-grid),system recurring cost per year,dollars per year,None,mvMax5.costMiniGrid.GeneratorOperationsAndMaintenanceCostPerYear;mvMax5.costMiniGrid.GeneratorReplacementCostPerYear;mvMax5.costMiniGrid.FuelBatteryCostPerYear;mvMax5.costMiniGrid.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYear;mvMax5.costDistribution.LowVoltageLineRecurringCostPerYear
mvMax5.costGrid.GridInternalSystemInitialCost,gi_ini,system (grid),internal system initial cost,dollars,None,mvMax5.costGrid.GridInstallationCost;mvMax5.costGrid.GridTransformerCost;mvMax5.costGrid.LowVoltageLineEquipmentCost;mvMax5.costDistribution.LowVoltageLineInitialCost
mvMax5.costGrid.GridInternalSystemRecurringCostPerYear,gi_rec,system (grid),internal system recurring cost per year,dollars per year,None,mvMax5.costGrid.GridTransformerOperationsAndMaintenanceCostPerYear;mvMax5.costGrid.GridTransformerReplacementCostPerYear;mvMax5.costGrid.GridElectricityCostPerYear;mvMax5.costGrid.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYear;mvMax5.costDistribution.LowVoltageLineRecurringCostPerYear
mvMax5.costGrid.GridExternalSystemInitialCostPerMeter,ge_inim,system (grid),external system initial cost per meter,dollars per meter,None,mvMax5.costGrid.GridMediumVoltageLineCostPerMeter
mvMax5.costGrid.GridExternalSystemNodalDiscountedRecurringCostPerMeter,ge_nodm_drcpm,system (grid),external nodal discounted recurring cost per meter,dollars per meter,None,mvMax5.costGrid.GridExternalSystemRecurringCostPerMeterPerYear;mvMax5.finance.DiscountedCashFlowFactor
mvMax5.demand.ProjectedHouseholdDemandPerYear,p_dem_ho,demand (household),projected household demand per year,kilowatt-hours per year,None,mvMax5.finance.ElectricityDemandMultiplier;mvMax5.demand.HouseholdDemandCurve;mvMax5.demand.HouseholdUnitDemandPerHouseholdPerYear;mvMax5.demographics.ProjectedPopulationCount;mvMax5.demand.TargetHouseholdCount
mvMax5.demand.ProjectedProductiveDemandPerYear,p_dem_pr,demand (productive),projected productive demand,kilowatt-hours per year,None,mvMax5.finance.ElectricityDemandMultiplier;mvMax5.demand.ProductiveDemandCurve;mvMax5.demand.ProductiveUnitDemandPerHouseholdPerYear;mvMax5.demographics.ProjectedPopulationCount;mvMax5.demand.TargetHouseholdCount
