class,alias,section,option,units,default,dependencies
mvMax4.Metric,mvmax,metric,maximum length of medium voltage line extension,meters,None,mvMax4.costOffGrid.OffGridSystemNodalDiscountedCost;mvMax4.costOffGrid.OffGridSystemNodalLevelizedCost;mvMax4.costMiniGrid.MiniGridSystemNodalDiscountedCost;mvMax4.costMiniGrid.MiniGridSystemNodalLevelizedCost;mvMax4.costGrid.GridInternalSystemNodalDiscountedCost;mvMax4.costGrid.GridInternalSystemNodalLevelizedCost;mvMax4.costGrid.GridExternalSystemNodalDiscountedCostPerMeter
mvMax4.costOffGrid.OffGridSystemNodalDiscountedCost,og_nod_d,system (off-grid),system nodal discounted cost,dollars,None,mvMax4.demand.ProjectedNodalDemandPerYear;mvMax4.costOffGrid.OffGridSystemInitialCost;mvMax4.costOffGrid.OffGridSystemRecurringCostPerYear;mvMax4.finance.DiscountedCashFlowFactor
mvMax4.costOffGrid.OffGridSystemNodalLevelizedCost,og_nod_lev,system (off-grid),system nodal levelized cost,dollars per kilowatt-hour,None,mvMax4.demand.ProjectedNodalDiscountedDemand;mvMax4.costOffGrid.OffGridSystemNodalDiscountedCost
mvMax4.costMiniGrid.MiniGridSystemNodalDiscountedCost,mg_nod_d,system (mini-grid),system nodal discounted cost,dollars,None,mvMax4.demand.ProjectedNodalDemandPerYear;mvMax4.costMiniGrid.MiniGridSystemInitialCost;mvMax4.costMiniGrid.MiniGridSystemRecurringCostPerYear;mvMax4.finance.DiscountedCashFlowFactor
mvMax4.costMiniGrid.MiniGridSystemNodalLevelizedCost,mg_nod_lev,system (mini-grid),system nodal levelized cost,dollars per kilowatt-hour,None,mvMax4.demand.ProjectedNodalDiscountedDemand;mvMax4.costMiniGrid.MiniGridSystemNodalDiscountedCost
mvMax4.costGrid.GridInternalSystemNodalDiscountedCost,gi_nod_d,system (grid),internal system nodal discounted cost,dollars,None,mvMax4.demand.ProjectedNodalDemandPerYear;mvMax4.costGrid.GridInternalSystemInitialCost;mvMax4.costGrid.GridInternalSystemRecurringCostPerYear;mvMax4.finance.DiscountedCashFlowFactor
mvMax4.costGrid.GridInternalSystemNodalLevelizedCost,gi_nod_lev,system (grid),internal system nodal levelized cost,dollars per kilowatt-hour,None,mvMax4.demand.ProjectedNodalDiscountedDemand;mvMax4.costGrid.GridInternalSystemNodalDiscountedCost
mvMax4.costGrid.GridExternalSystemNodalDiscountedCostPerMeter,ge_nodm_d,system (grid),external nodal discounted cost per meter,dollars per meter,None,mvMax4.costGrid.GridExternalSystemInitialCostPerMeter;mvMax4.costGrid.GridExternalSystemNodalDiscountedRecurringCostPerMeter
mvMax4.demand.ProjectedNodalDemandPerYear,p_dem,demand,projected nodal demand per year,kilowatt-hours per year,None,mvMax4.demand.ProjectedHouseholdDemandPerYear;mvMax4.demand.ProjectedProductiveDemandPerYear;mvMax4.demand.ProjectedHealthFacilityDemandPerYear;mvMax4.demand.ProjectedEducationFacilityDemandPerYear;mvMax4.demand.ProjectedCommercialFacilityDemandPerYear;mvMax4.demand.ProjectedPublicLightingFacilityDemandPerYear
mvMax4.costOffGrid.OffGridSystemInitialCost,og_ini,system (off-grid),system initial cost,dollars,None,mvMax4.costOffGrid.PhotovoltaicComponentInitialCost;mvMax4.costOffGrid.DieselComponentInitialCost
mvMax4.costOffGrid.OffGridSystemRecurringCostPerYear,og_rec,system (off-grid),system recurring cost per year,dollars per year,None,mvMax4.costOffGrid.PhotovoltaicComponentRecurringCostPerYear;mvMax4.costOffGrid.DieselComponentRecurringCostPerYear
mvMax4.finance.DiscountedCashFlowFactor,dcff,finance,discounted cash flow factor,,None,mvMax4.finance.TimeHorizon;mvMax4.finance.InterestRatePerYear
mvMax4.demand.ProjectedNodalDiscountedDemand,p_dem_d,demand,projected nodal discounted demand,kilowatt-hours,None,mvMax4.demand.ProjectedNodalDemandPerYear;mvMax4.finance.DiscountedCashFlowFactor
mvMax4.costMiniGrid.MiniGridSystemInitialCost,mg_ini,system (mini-grid),system initial cost,dollars,None,mvMax4.costMiniGrid.DieselGeneratorCost;mvMax4.costMiniGrid.DieselGeneratorInstallationCost;mvMax4.costMiniGrid.LowVoltageLineEquipmentCost;mvMax4.costDistribution.LowVoltageLineInitialCost
mvMax4.costMiniGrid.MiniGridSystemRecurringCostPerYear,mg_rec,system (mini-grid),system recurring cost per year,dollars per year,None,mvMax4.costMiniGrid.DieselGeneratorOperationsAndMaintenanceCostPerYear;mvMax4.costMiniGrid.DieselGeneratorReplacementCostPerYear;mvMax4.costMiniGrid.DieselFuelCostPerYear;mvMax4.costMiniGrid.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYear;mvMax4.costDistribution.LowVoltageLineRecurringCostPerYear
mvMax4.costGrid.GridInternalSystemInitialCost,gi_ini,system (grid),internal system initial cost,dollars,None,mvMax4.costGrid.GridInstallationCost;mvMax4.costGrid.GridTransformerCost;mvMax4.costGrid.LowVoltageLineEquipmentCost;mvMax4.costDistribution.LowVoltageLineInitialCost
mvMax4.costGrid.GridInternalSystemRecurringCostPerYear,gi_rec,system (grid),internal system recurring cost per year,dollars per year,None,mvMax4.costGrid.GridTransformerOperationsAndMaintenanceCostPerYear;mvMax4.costGrid.GridTransformerReplacementCostPerYear;mvMax4.costGrid.GridElectricityCostPerYear;mvMax4.costGrid.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYear;mvMax4.costDistribution.LowVoltageLineRecurringCostPerYear
mvMax4.costGrid.GridExternalSystemInitialCostPerMeter,ge_inim,system (grid),external system initial cost per meter,dollars per meter,None,mvMax4.costGrid.GridMediumVoltageLineCostPerMeter
mvMax4.costGrid.GridExternalSystemNodalDiscountedRecurringCostPerMeter,ge_nodm_drcpm,system (grid),external nodal discounted recurring cost per meter,dollars per meter,None,mvMax4.costGrid.GridExternalSystemRecurringCostPerMeterPerYear;mvMax4.finance.DiscountedCashFlowFactor
mvMax4.demand.ProjectedHouseholdDemandPerYear,p_dem_ho,demand (household),projected household demand per year,kilowatt-hours per year,None,mvMax4.finance.ElectricityDemandMultiplier;mvMax4.demand.HouseholdDemandCurve;mvMax4.demand.HouseholdUnitDemandPerHouseholdPerYear;mvMax4.demographics.ProjectedPopulationCount;mvMax4.demand.TargetHouseholdCount
mvMax4.demand.ProjectedProductiveDemandPerYear,p_dem_pr,demand (productive),projected productive demand,kilowatt-hours per year,None,mvMax4.finance.ElectricityDemandMultiplier;mvMax4.demand.ProductiveDemandCurve;mvMax4.demand.ProductiveUnitDemandPerHouseholdPerYear;mvMax4.demographics.ProjectedPopulationCount;mvMax4.demand.TargetHouseholdCount
mvMax4.demand.ProjectedHealthFacilityDemandPerYear,p_dem_he,demand (social infrastructure),projected health facility demand per year,kilowatt-hours per year,None,mvMax4.finance.ElectricityDemandMultiplier;mvMax4.demand.SocialInfrastructureDemandCurve;mvMax4.demand.HealthFacilityUnitDemandPerHealthFacilityPerYear;mvMax4.demographics.ProjectedPopulationCount;mvMax4.demand.ProjectedHealthFacilityCount
mvMax4.demand.ProjectedEducationFacilityDemandPerYear,p_dem_ed,demand (social infrastructure),projected education facility demand per year,kilowatt-hours per year,None,mvMax4.finance.ElectricityDemandMultiplier;mvMax4.demand.SocialInfrastructureDemandCurve;mvMax4.demand.EducationFacilityUnitDemandPerEducationFacilityPerYear;mvMax4.demographics.ProjectedPopulationCount;mvMax4.demand.ProjectedEducationFacilityCount
