class,alias,section,option,units,default,dependencies
mvMax4.demand.ProjectedCommercialFacilityDemandPerYear,p_dem_co,demand (social infrastructure),projected commercial facility demand per year,kilowatt-hours per year,None,mvMax4.finance.ElectricityDemandMultiplier;mvMax4.demand.SocialInfrastructureDemandCurve;mvMax4.demand.CommercialFacilityUnitDemandPerCommercialFacilityPerYear;mvMax4.demographics.ProjectedPopulationCount;mvMax4.demand.ProjectedCommercialFacilityCount
mvMax4.demand.ProjectedPublicLightingFacilityDemandPerYear,p_dem_li,demand (social infrastructure),projected public lighting facility demand per year,kilowatt-hours per year,None,mvMax4.finance.ElectricityDemandMultiplier;mvMax4.demand.SocialInfrastructureDemandCurve;mvMax4.demand.PublicLightingFacilityUnitDemandPerPublicLightingFacilityPerYear;mvMax4.demographics.ProjectedPopulationCount;mvMax4.demand.ProjectedPublicLightingFacilityCount
mvMax4.costOffGrid.PhotovoltaicComponentInitialCost,og_p_ini,system (off-grid),photovoltaic component initial cost,dollars,None,mvMax4.costOffGrid.PhotovoltaicPanelCost;mvMax4.costOffGrid.PhotovoltaicBatteryCost;mvMax4.costOffGrid.PhotovoltaicBalanceCost
mvMax4.costOffGrid.DieselComponentInitialCost,og_d_ini,system (off-grid),diesel component initial cost,dollars,None,mvMax4.costOffGrid.DieselGeneratorCost;mvMax4.costOffGrid.DieselGeneratorInstallationCost
mvMax4.costOffGrid.PhotovoltaicComponentRecurringCostPerYear,og_p_rec,system (off-grid),photovoltaic component recurring cost per year,dollars per year,None,mvMax4.costOffGrid.PhotovoltaicPanelReplacementCostPerYear;mvMax4.costOffGrid.PhotovoltaicBatteryReplacementCostPerYear;mvMax4.costOffGrid.PhotovoltaicBalanceReplacementCostPerYear;mvMax4.costOffGrid.PhotovoltaicComponentOperationsAndMaintenanceCostPerYear
mvMax4.costOffGrid.DieselComponentRecurringCostPerYear,og_d_rec,system (off-grid),diesel component recurring cost per year,dollars per year,None,mvMax4.costOffGrid.DieselGeneratorOperationsAndMaintenanceCostPerYear;mvMax4.costOffGrid.DieselGeneratorReplacementCostPerYear;mvMax4.costOffGrid.DieselFuelCostPerYear
mvMax4.finance.TimeHorizon,time,finance,time horizon,years,10,
mvMax4.finance.InterestRatePerYear,interest_g,finance,interest rate per year,fraction per year,0.1,
mvMax4.costMiniGrid.DieselGeneratorCost,mg_dg_ini,system (mini-grid),diesel generator cost,dollars,None,mvMax4.costMiniGrid.DieselGeneratorCostPerDieselSystemKilowatt;mvMax4.costMiniGrid.DieselGeneratorActualSystemCapacity
mvMax4.costMiniGrid.DieselGeneratorInstallationCost,mg_dg_i,system (mini-grid),diesel generator installation cost,dollars,None,mvMax4.costMiniGrid.DieselGeneratorInstallationCostAsFractionOfGeneratorCost;mvMax4.costMiniGrid.DieselGeneratorCost
mvMax4.costMiniGrid.LowVoltageLineEquipmentCost,mg_le,system (mini-grid),low voltage line equipment cost,dollars,None,mvMax4.costDistribution.LowVoltageLineEquipmentCostPerConnection;mvMax4.demand.TargetHouseholdCount
mvMax4.costDistribution.LowVoltageLineInitialCost,di_ll_ini,distribution,low voltage line initial cost,dollars,None,mvMax4.costDistribution.LowVoltageLineLength;mvMax4.costDistribution.LowVoltageLineCostPerMeter
mvMax4.costMiniGrid.DieselGeneratorOperationsAndMaintenanceCostPerYear,mg_dg_om,system (mini-grid),diesel generator operations and maintenance cost per year,dollars per year,None,mvMax4.costMiniGrid.DieselGeneratorOperationsAndMaintenanceCostPerYearAsFractionOfGeneratorCost;mvMax4.costMiniGrid.DieselGeneratorCost
mvMax4.costMiniGrid.DieselGeneratorReplacementCostPerYear,mg_dg_rep,system (mini-grid),diesel generator replacement cost per year,dollars per year,None,mvMax4.costMiniGrid.DieselGeneratorCost;mvMax4.costMiniGrid.DieselGeneratorLifetime
mvMax4.costMiniGrid.DieselFuelCostPerYear,mg_fl,system (mini-grid),diesel fuel cost per year,dollars per year,None,mvMax4.costMiniGrid.DieselFuelCostPerLiter;mvMax4.costMiniGrid.DieselFuelLitersConsumedPerKilowattHour;mvMax4.costMiniGrid.DieselGeneratorActualSystemCapacity;mvMax4.costMiniGrid.DieselGeneratorEffectiveHoursOfOperationPerYear
mvMax4.costMiniGrid.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYear,mg_le_om,system (mini-grid),low voltage line equipment operations and maintenance cost per year,dollars per year,None,mvMax4.costDistribution.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYearAsFractionOfEquipmentCost;mvMax4.costMiniGrid.LowVoltageLineEquipmentCost
mvMax4.costDistribution.LowVoltageLineRecurringCostPerYear,di_ll_rec,distribution,low voltage line recurring cost per year,dollars per year,None,mvMax4.costDistribution.LowVoltageLineOperationsAndMaintenanceCostPerYear;mvMax4.costDistribution.LowVoltageLineReplacementCostPerYear
mvMax4.costGrid.GridInstallationCost,gr_i,system (grid),installation cost,dollars,None,mvMax4.costGrid.GridInstallationCostPerConnection;mvMax4.costGrid.GridInternalConnectionCount
mvMax4.costGrid.GridTransformerCost,gr_tr,system (grid),transformer cost,dollars,None,mvMax4.costGrid.GridTransformerCostPerGridSystemKilowatt;mvMax4.costGrid.GridTransformerActualSystemCapacity
mvMax4.costGrid.LowVoltageLineEquipmentCost,gr_le,system (grid),low voltage line equipment cost,dollars,None,mvMax4.costDistribution.LowVoltageLineEquipmentCostPerConnection;mvMax4.costGrid.GridInternalConnectionCount
mvMax4.costGrid.GridTransformerOperationsAndMaintenanceCostPerYear,gr_tr_om,system (grid),transformer operations and maintenance cost per year,dollars per year,None,mvMax4.costGrid.GridTransformerOperationsAndMaintenanceCostPerYearAsFractionOfTransformerCost;mvMax4.costGrid.GridTransformerCost
mvMax4.costGrid.GridTransformerReplacementCostPerYear,gr_tr_rep,system (grid),transformer replacement cost per year,dollars per year,None,mvMax4.costGrid.GridTransformerCost;mvMax4.costGrid.GridTransformerLifetime
mvMax4.costGrid.GridElectricityCostPerYear,gr_el,system (grid),electricity cost per year,dollars per year,None,mvMax4.costGrid.GridElectricityCostPerKilowattHour;mvMax4.demand.ProjectedNodalDemandPerYear;mvMax4.costGrid.DistributionLoss
mvMax4.costGrid.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYear,gr_le_om,system (grid),low voltage line equipment operations and maintenance cost per year,dollars per year,None,mvMax4.costDistribution.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYearAsFractionOfEquipmentCost;mvMax4.costGrid.LowVoltageLineEquipmentCost
mvMax4.costGrid.GridMediumVoltageLineCostPerMeter,gr_ml_cm,system (grid),medium voltage line cost per meter,dollars per meter,20,
mvMax4.costGrid.GridExternalSystemRecurringCostPerMeterPerYear,ge_recm,system (grid),external system recurring cost per meter per year,dollars per meter per year,None,mvMax4.costGrid.GridMediumVoltageLineOperationsAndMaintenanceCostPerMeterPerYear;mvMax4.costGrid.GridMediumVoltageLineReplacementCostPerMeterPerYear
mvMax4.finance.ElectricityDemandMultiplier,demf,finance,electricity demand multiplier,,None,mvMax4.finance.ElectricityDemandGrowthRatePerYear;mvMax4.finance.TimeHorizon
mvMax4.demand.HouseholdDemandCurve,ho_dc,demand (household),demand curve,,None,mvMax4.demand.HouseholdDemandCurveType;mvMax4.demand.HouseholdDemandCurvePoints
mvMax4.demand.HouseholdUnitDemandPerHouseholdPerYear,ho_dc_unit,demand (household),household unit demand per household per year,kilowatt-hours per year,0,
mvMax4.demographics.ProjectedPopulationCount,p_pop,demographics,projected population count,person count,None,mvMax4.demographics.ProjectedPopulationCounts
mvMax4.demand.TargetHouseholdCount,ct_hh_t,demand (household),target household count,households,None,mvMax4.demand.TargetHouseholdPenetrationRate;mvMax4.demographics.ProjectedHouseholdCount
mvMax4.demand.ProductiveDemandCurve,pr_dc,demand (productive),demand curve,,None,mvMax4.demand.ProductiveDemandCurveType;mvMax4.demand.ProductiveDemandCurvePoints
mvMax4.demand.ProductiveUnitDemandPerHouseholdPerYear,pr_dc_unit,demand (productive),productive unit demand per household per year,kilowatt-hours per year,0,
mvMax4.demand.SocialInfrastructureDemandCurve,so_dc,demand (social infrastructure),demand curve,,None,mvMax4.demand.SocialInfrastructureDemandCurveType;mvMax4.demand.SocialInfrastructureDemandCurvePoints
mvMax4.demand.HealthFacilityUnitDemandPerHealthFacilityPerYear,he_dc_unit,demand (social infrastructure),health facility unit demand per health facility per year,kilowatt-hours per year,0,
mvMax4.demand.ProjectedHealthFacilityCount,p_he,demand (social infrastructure),projected health facility count,health facility count,None,mvMax4.demand.HealthFacilityCountCurve;mvMax4.demographics.ProjectedPopulationCount
mvMax4.demand.EducationFacilityUnitDemandPerEducationFacilityPerYear,ed_dc_unit,demand (social infrastructure),education facility unit demand per education facility per year,kilowatt-hours per year,0,
mvMax4.demand.ProjectedEducationFacilityCount,p_ed,demand (social infrastructure),projected education facility count,education facility count,None,mvMax4.demand.EducationFacilityCountCurve;mvMax4.demographics.ProjectedPopulationCount
mvMax4.demand.CommercialFacilityUnitDemandPerCommercialFacilityPerYear,co_dc_unit,demand (social infrastructure),commercial facility unit demand per commercial facility per year,kilowatt-hours per year,0,
mvMax4.demand.ProjectedCommercialFacilityCount,p_co,demand (social infrastructure),projected commercial facility count,commercial facility count,None,mvMax4.demand.CommercialFacilityCountCurve;mvMax4.demographics.ProjectedPopulationCount
mvMax4.demand.PublicLightingFacilityUnitDemandPerPublicLightingFacilityPerYear,li_dc_unit,demand (social infrastructure),public lighting facility unit demand per public lighting facility per year,kilowatt-hours per year,0,
mvMax4.demand.ProjectedPublicLightingFacilityCount,p_li,demand (social infrastructure),projected public lighting facility count,public lighting facility count,None,mvMax4.demand.PublicLightingFacilityCountCurve;mvMax4.demographics.ProjectedPopulationCount
mvMax4.costOffGrid.PhotovoltaicPanelCost,og_pp_ini,system (off-grid),photovoltaic panel cost,dollars,None,mvMax4.costOffGrid.PhotovoltaicPanelCostPerPhotovoltaicComponentKilowatt;mvMax4.costOffGrid.PhotovoltaicPanelActualSystemCapacity
mvMax4.costOffGrid.PhotovoltaicBatteryCost,og_pb_ini,system (off-grid),photovoltaic battery cost,dollars,None,mvMax4.costOffGrid.PhotovoltaicBatteryCostPerKilowattHour;mvMax4.costOffGrid.PhotovoltaicBatteryKilowattHoursPerPhotovoltaicComponentKilowatt;mvMax4.costOffGrid.PhotovoltaicPanelActualSystemCapacity
mvMax4.costOffGrid.PhotovoltaicBalanceCost,og_px_ini,system (off-grid),photovoltaic balance cost,dollars,None,mvMax4.costOffGrid.PhotovoltaicBalanceCostAsFractionOfPanelCost;mvMax4.costOffGrid.PhotovoltaicPanelCost
mvMax4.costOffGrid.DieselGeneratorCost,og_dg_ini,system (off-grid),diesel generator cost,dollars,None,mvMax4.costMiniGrid.DieselGeneratorCostPerDieselSystemKilowatt;mvMax4.costOffGrid.DieselGeneratorActualSystemCapacity
mvMax4.costOffGrid.DieselGeneratorInstallationCost,og_dg_i,system (off-grid),diesel generator installation cost,dollars,None,mvMax4.costMiniGrid.DieselGeneratorInstallationCostAsFractionOfGeneratorCost;mvMax4.costOffGrid.DieselGeneratorCost
mvMax4.costOffGrid.PhotovoltaicPanelReplacementCostPerYear,og_pp_rep,system (off-grid),photovoltaic panel replacement cost per year,dollars per year,None,mvMax4.costOffGrid.PhotovoltaicPanelCost;mvMax4.costOffGrid.PhotovoltaicPanelLifetime
mvMax4.costOffGrid.PhotovoltaicBatteryReplacementCostPerYear,og_pb_rep,system (off-grid),photovoltaic battery replacement cost per year,dollars per year,None,mvMax4.costOffGrid.PhotovoltaicBatteryCost;mvMax4.costOffGrid.PhotovoltaicBatteryLifetime
mvMax4.costOffGrid.PhotovoltaicBalanceReplacementCostPerYear,og_px_rep,system (off-grid),photovoltaic balance replacement cost per year,dollars per year,None,mvMax4.costOffGrid.PhotovoltaicBalanceCost;mvMax4.costOffGrid.PhotovoltaicBalanceLifetime
mvMax4.costOffGrid.PhotovoltaicComponentOperationsAndMaintenanceCostPerYear,og_p_om,system (off-grid),photovoltaic component operations and maintenance cost per year,dollars per year,None,mvMax4.costOffGrid.PhotovoltaicComponentOperationsAndMaintenanceCostPerYearAsFractionOfComponentCost;mvMax4.costOffGrid.PhotovoltaicComponentInitialCost
mvMax4.costOffGrid.DieselGeneratorOperationsAndMaintenanceCostPerYear,og_dg_om,system (off-grid),diesel generator operations and maintenance cost per year,dollars per year,None,mvMax4.costMiniGrid.DieselGeneratorOperationsAndMaintenanceCostPerYearAsFractionOfGeneratorCost;mvMax4.costOffGrid.DieselGeneratorCost
mvMax4.costOffGrid.DieselGeneratorReplacementCostPerYear,og_dg_rep,system (off-grid),diesel generator replacement cost per year,dollars per year,None,mvMax4.costOffGrid.DieselGeneratorCost;mvMax4.costMiniGrid.DieselGeneratorLifetime
mvMax4.costOffGrid.DieselFuelCostPerYear,og_fl,system (off-grid),diesel fuel cost per year,dollars per year,None,mvMax4.costMiniGrid.DieselFuelCostPerLiter;mvMax4.costMiniGrid.DieselFuelLitersConsumedPerKilowattHour;mvMax4.costOffGrid.DieselGeneratorActualSystemCapacity;mvMax4.costOffGrid.DieselGeneratorEffectiveHoursOfOperationPerYear
mvMax4.costMiniGrid.DieselGeneratorCostPerDieselSystemKilowatt,mg_dg_ck,system (mini-grid),diesel generator cost per diesel system kilowatt,dollars per kilowatt,150,
mvMax4.costMiniGrid.DieselGeneratorActualSystemCapacity,mg_dg_acp,system (mini-grid),diesel generator actual system capacity,kilowatts,None,mvMax4.costMiniGrid.DieselGeneratorAvailableSystemCapacities;mvMax4.costMiniGrid.DieselGeneratorActualSystemCapacityCounts
mvMax4.costMiniGrid.DieselGeneratorInstallationCostAsFractionOfGeneratorCost,mg_dg_if,system (mini-grid),diesel generator installation cost as fraction of generator cost,,0.25,
mvMax4.costDistribution.LowVoltageLineEquipmentCostPerConnection,di_le_cc,distribution,low voltage line equipment cost per connection,dollars per connection,200,
mvMax4.costDistribution.LowVoltageLineLength,di_ll_len,distribution,low voltage line length,meters,None,mvMax4.demographics.MeanInterhouseholdDistance;mvMax4.demand.TargetHouseholdCount
mvMax4.costDistribution.LowVoltageLineCostPerMeter,di_ll_cm,distribution,low voltage line cost per meter,dollars per meter,10,
mvMax4.costMiniGrid.DieselGeneratorOperationsAndMaintenanceCostPerYearAsFractionOfGeneratorCost,mg_dg_omf,system (mini-grid),diesel generator operations and maintenance cost per year as fraction of generator cost,,0.01,
mvMax4.costMiniGrid.DieselGeneratorLifetime,mg_dg_life,system (mini-grid),diesel generator lifetime,years,5,
mvMax4.costMiniGrid.DieselFuelCostPerLiter,mg_fl_cl,system (mini-grid),diesel fuel cost per liter,dollars per liter,1.08,
mvMax4.costMiniGrid.DieselFuelLitersConsumedPerKilowattHour,mg_fl_lkwh,system (mini-grid),diesel fuel liters consumed per kilowatt-hour,liters per kilowatt-hour,0.5,
mvMax4.costMiniGrid.DieselGeneratorEffectiveHoursOfOperationPerYear,mg_dg_efhr,system (mini-grid),diesel generator hours of operation per year (effective),hours per year,None,mvMax4.demand.ProjectedNodalDemandPerYear;mvMax4.costMiniGrid.DistributionLoss;mvMax4.costMiniGrid.DieselGeneratorMinimumHoursOfOperationPerYear;mvMax4.costMiniGrid.DieselGeneratorActualSystemCapacity
mvMax4.costDistribution.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYearAsFractionOfEquipmentCost,di_le_omf,distribution,low voltage line equipment operations and maintenance cost as fraction of equipment cost,,0.01,
mvMax4.costDistribution.LowVoltageLineOperationsAndMaintenanceCostPerYear,di_ll_om,distribution,low voltage line operations and maintenance cost per year,dollars per year,None,mvMax4.costDistribution.LowVoltageLineOperationsAndMaintenanceCostPerYearAsFractionOfLineCost;mvMax4.costDistribution.LowVoltageLineCostPerMeter;mvMax4.costDistribution.LowVoltageLineLength
mvMax4.costDistribution.LowVoltageLineReplacementCostPerYear,di_ll_rep,distribution,low voltage line replacement cost per year,dollars per year,None,mvMax4.costDistribution.LowVoltageLineInitialCost;mvMax4.costDistribution.LowVoltageLineLifetime
mvMax4.costGrid.GridInstallationCostPerConnection,gr_i_cc,system (grid),installation cost per connection,dollars per connection,130,
mvMax4.costGrid.GridInternalConnectionCount,gr_ic,system (grid),internal connection count,connection count,None,mvMax4.demand.TargetHouseholdCount;mvMax4.costGrid.GridSocialInfrastructureCount
mvMax4.costGrid.GridTransformerCostPerGridSystemKilowatt,gr_tr_ckw,system (grid),transformer cost per grid system kilowatt,dollars per kilowatt,1000,
mvMax4.costGrid.GridTransformerActualSystemCapacity,gr_tr_acp,system (grid),grid transformer actual system capacity,kilowatts,None,mvMax4.costGrid.GridTransformerAvailableSystemCapacities;mvMax4.costGrid.GridTransformerActualSystemCapacityCounts
mvMax4.costGrid.GridTransformerOperationsAndMaintenanceCostPerYearAsFractionOfTransformerCost,gr_tr_omf,system (grid),transformer operations and maintenance cost per year as fraction of transformer cost,,0.03,
mvMax4.costGrid.GridTransformerLifetime,gr_tr_life,system (grid),transformer lifetime,years,10,
mvMax4.costGrid.GridElectricityCostPerKilowattHour,gr_el_ckwh,system (grid),electricity cost per kilowatt-hour,dollars per kilowatt-hour,0.17,
mvMax4.costGrid.DistributionLoss,gr_loss,system (grid),distribution loss,fraction,0.15,
mvMax4.costGrid.GridMediumVoltageLineOperationsAndMaintenanceCostPerMeterPerYear,gr_ml_omm,system (grid),medium voltage line operations and maintenace cost per meter per year,dollars per meter per year,None,mvMax4.costGrid.GridMediumVoltageLineOperationsAndMaintenanceCostPerYearAsFractionOfLineCost;mvMax4.costGrid.GridMediumVoltageLineCostPerMeter
mvMax4.costGrid.GridMediumVoltageLineReplacementCostPerMeterPerYear,gr_ml_repm,system (grid),medium voltage line replacement cost per meter per year,dollars per meter per year,None,mvMax4.costGrid.GridMediumVoltageLineCostPerMeter;mvMax4.costGrid.GridMediumVoltageLineLifetime
mvMax4.finance.ElectricityDemandGrowthRatePerYear,dem_g,finance,electricity demand growth rate per year,fraction per year,None,mvMax4.finance.ElasticityOfElectricityDemand;mvMax4.finance.EconomicGrowthRatePerYear
mvMax4.demand.HouseholdDemandCurveType,ho_dc_t,demand (household),demand curve type,,ZeroLogisticLinear,
mvMax4.demand.HouseholdDemandCurvePoints,ho_dc_pts,demand (household),demand curve points (population and multiplier),population and multiplier list,500 1; 1000 1.56; 5000 6.16; 10000 11.5,
mvMax4.demographics.ProjectedPopulationCounts,p_pops,demographics,projected population counts,person count list,None,mvMax4.demographics.PopulationCount;mvMax4.demographics.RuralPopulationGrowthRatePerYear;mvMax4.demographics.UrbanPopulationGrowthRatePerYear;mvMax4.demographics.UrbanPopulationThreshold;mvMax4.finance.TimeHorizon
mvMax4.demand.TargetHouseholdPenetrationRate,Target household penetration rate,demand (household),target household penetration rate,,1,
mvMax4.demographics.ProjectedHouseholdCount,p_ho,demographics,projected household count,household count,None,mvMax4.demographics.ProjectedPopulationCount;mvMax4.demographics.MeanHouseholdSize
mvMax4.demand.ProductiveDemandCurveType,pr_dc_t,demand (productive),demand curve type,,ZeroLogisticLinear,
mvMax4.demand.ProductiveDemandCurvePoints,pr_dc_pts,demand (productive),demand curve points (population and multiplier),population and multiplier list,500 1; 1000 3.06; 5000 3.57; 10000 5.10,
mvMax4.demand.SocialInfrastructureDemandCurveType,so_dc_t,demand (social infrastructure),demand curve type,,ZeroLogisticLinear,
mvMax4.demand.SocialInfrastructureDemandCurvePoints,so_dc_pts,demand (social infrastructure),demand curve points (population and multiplier),population and multiplier list,500 1; 1000 1.5; 5000 2.25; 10000 3.375,
mvMax4.demand.HealthFacilityCountCurve,he_cc,demand (social infrastructure),health facility count curve,,None,mvMax4.demand.HealthFacilityCountCurveType;mvMax4.demand.HealthFacilityCountCurvePoints
mvMax4.demand.EducationFacilityCountCurve,ed_cc,demand (social infrastructure),education facility count curve,,None,mvMax4.demand.EducationFacilityCountCurveType;mvMax4.demand.EducationFacilityCountCurvePoints
mvMax4.demand.CommercialFacilityCountCurve,co_cc,demand (social infrastructure),commercial facility count curve,,None,mvMax4.demand.CommercialFacilityCountCurveType;mvMax4.demand.CommercialFacilityCountCurvePoints
mvMax4.demand.PublicLightingFacilityCountCurve,li_cc,demand (social infrastructure),public lighting facility count curve,,None,mvMax4.demand.PublicLightingFacilityCountCurveType;mvMax4.demand.PublicLightingFacilityCountCurvePoints
